source,listing_id,category,url,title,price_vnd,price_raw,area_m2,area_raw,bedrooms,toilets,furniture,city,district,ward,location_raw,posted_date,scraped_at,price_month_vnd,price_unit_status,district_analysis,scope_flag,duplicate_group_id,area_analysis_m2,bedrooms_analysis,toilets_analysis,quality_flags,scope_decision,price_decision,area_decision,review_note,reviewer,review_status,exclusion_reason,include_price,include_ppm2,price_million,price_per_m2,log_price,log_area,furniture_analysis,furniture_origin,toilets_origin,area_band,bedroom_group,split_group
nhatot,nt_134726618,can_ho_chung_cu,https://www.nhatot.com/134726618.htm,CHO THUÊ 2PN FULL NỘI THẤT THIẾT KẾ SANG TRỌNG NGAY MẶT PHỐ NGỌC HÀ,15000000,15 triệu/tháng,50.0,50.0,2.0,1.0,Đầy đủ,Hà Nội,Ba Đình,Ngọc Hà,Phố Ngọc Hà - Phường Ngọc Hà - Quận Ba Đình,2026-09-16,2026-09-19,15000000.0,monthly_verified,Ba Đình,normal,,50.0,2.0,1.0,,,,,,,not_required,,True,True,15.0,300000.0,16.523560759066484,3.912023005428146,Furnished,structured,structured,"[40, 60)",2,listing_nt_134726618
nhatot,nt_134726430,can_ho_chung_cu,https://www.nhatot.com/134726430.htm,Cho thuê căn hộ Tầng 3 khu TT xà phòng - 181 đường Nguyễn Trãi- TX- HN,5500000,"5,5 triệu/tháng",70.0,70.0,2.0,1.0,Trống,Hà Nội,Thanh Xuân,Thượng Đình,Đường Nguyễn Trãi - Phường Thượng Đình - Quận Thanh Xuân,2026-09-16,2026-09-19,5500000.0,monthly_verified,Thanh Xuân,normal,,70.0,2.0,1.0,,,,,,,not_required,,True,True,5.5,78571.42857142857,15.520258650202699,4.248495242049359,Unfurnished,structured,structured,"[60, 80)",2,listing_nt_134726430
nhatot,nt_134655911,can_ho_chung_cu,https://www.nhatot.com/134655911.htm,🔥 Cực Hiếm! 3PN Vinhomes West Point 90m2 Đủ Đồ Chỉ 27Tr Ở Ngay,27000000,27 triệu/tháng,90.0,90.0,3.0,2.0,Đầy đủ,Hà Nội,Nam Từ Liêm,Mễ Trì,Đường Phạm Hùng - Phường Mễ Trì - Quận Nam Từ Liêm,2026-09-16,2026-09-19,27000000.0,monthly_verified,Nam Từ Liêm,normal,,90.0,3.0,2.0,,,,,,,not_required,,True,True,27.0,300000.0,17.111347423968603,4.499809670330265,Furnished,structured,structured,"[80, 100)",3,listing_nt_134655911
nhatot,nt_134726149,can_ho_chung_cu,https://www.nhatot.com/134726149.htm,"Cho thuê chung cư 590 CMT8, Căn 1PN giá thuê 9tr/tháng",9000000,9 triệu/tháng,60.0,60.0,1.0,,Trống,Hà Nội,Ba Đình,Thành Công,Láng Hạ - Phường Thành Công - Quận Ba Đình,2026-09-16,2026-09-19,9000000.0,monthly_verified,Ba Đình,normal,,60.0,1.0,,,,,,,,not_required,,True,True,9.0,150000.0,16.012735135300492,4.0943445622221,Unfurnished,structured,structured,"[60, 80)",1,listing_nt_134726149
nhatot,nt_134726057,can_ho_chung_cu,https://www.nhatot.com/134726057.htm,CHO THUÊ căn hộ tại CC Bắc Hà Lucky - Số 30 Phạm Văn Đồng - 2PN 2WC,12000000,12 triệu/tháng,70.0,70.0,2.0,2.0,,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Phạm Văn Đồng - Phường Dịch Vọng Hậu - Quận Cầu Giấy,2026-09-16,2026-09-19,12000000.0,monthly_verified,Cầu Giấy,normal,,70.0,2.0,2.0,,,,,,,not_required,,True,True,12.0,171428.57142857142,16.300417207752275,4.248495242049359,Unknown,structured,structured,"[60, 80)",2,listing_nt_134726057
nhatot,nt_134701819,can_ho_chung_cu,https://www.nhatot.com/134701819.htm,1N1K FULL NỘI THẤT TIỆN NGHI MỚI BAN CÔNG NGAY LOTTE MALL TÂY HỒ ,11000000,11 triệu/tháng,45.0,45.0,1.0,,,Hà Nội,Tây Hồ,Xuân La,Đường Lạc Long Quân - Phường Xuân La - Quận Tây Hồ,2026-09-16,2026-09-19,11000000.0,monthly_verified,Tây Hồ,normal,,45.0,1.0,,,,,,,,not_required,,True,True,11.0,244444.44444444444,16.213405830762646,3.8066624897703196,Unknown,structured,structured,"[40, 60)",1,listing_nt_134701819
nhatot,nt_133453192,can_ho_chung_cu,https://www.nhatot.com/133453192.htm,"Ở đây có rất nhiều căn hộ đẹp - Giá tốt cho thuê. Ocean park, Gia Lâm ",5000000,5 triệu/tháng,36.0,36.0,1.0,,Đầy đủ,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Yên Viên - Thị trấn Trâu Quỳ - Huyện Gia Lâm,2026-09-16,2026-09-19,5000000.0,monthly_verified,Gia Lâm,normal,,36.0,1.0,,,,,,,,not_required,,True,True,5.0,138888.88888888888,15.424948470398375,3.58351893845611,Furnished,structured,structured,"[0, 40)",1,listing_nt_133453192
nhatot,nt_134725647,can_ho_chung_cu,https://www.nhatot.com/134725647.htm,CẬP NHẬT QUỸ CĂN THUÊ Studio/1N/2N/3N giá tốt từ 8tr,8000000,8 triệu/tháng,46.0,46.0,1.0,1.0,Đầy đủ,Hà Nội,Nam Từ Liêm,Tây Mỗ,Đại Mỗ - Phường Tây Mỗ - Quận Nam Từ Liêm,2026-09-16,2026-09-19,8000000.0,monthly_verified,Nam Từ Liêm,normal,,46.0,1.0,1.0,,,,,,,not_required,,True,True,8.0,173913.04347826086,15.89495209964411,3.828641396489095,Furnished,structured,structured,"[40, 60)",1,listing_nt_134725647
nhatot,nt_134449108,can_ho_chung_cu,https://www.nhatot.com/134449108.htm,CĂN GÓC 3PN 82M² FULL NT–PHÁP VÂN–VÀO Ở NGAY–ƯU TIÊN GĐ THUÊ LÂU DÀI,10500000,"10,5 triệu/tháng",82.0,82.0,3.0,2.0,Đầy đủ,Hà Nội,Hoàng Mai,Hoàng Liệt,Ngõ 15 Ngọc Hồi - Phường Hoàng Liệt - Quận Hoàng Mai,2026-09-16,2026-09-19,10500000.0,monthly_verified,Hoàng Mai,normal,,82.0,3.0,2.0,,,,,,,not_required,,True,True,10.5,128048.78048780488,16.166885815127753,4.406719247264253,Furnished,structured,structured,"[80, 100)",3,listing_nt_134449108
nhatot,nt_134725393,can_ho_chung_cu,https://www.nhatot.com/134725393.htm,"Cho thuê CCMN Hào Nam - Cát Linh, Thổ Quan ở ngay, oto đỗ cửa, full đồ",9000000,9 triệu/tháng,50.0,50.0,2.0,,Đầy đủ,Hà Nội,Đống Đa,Ô Chợ Dừa,Phố Hào Nam - Phường Ô Chợ Dừa - Quận Đống Đa,2026-09-16,2026-09-19,9000000.0,monthly_verified,Đống Đa,normal,,50.0,2.0,,,,,,,,not_required,,True,True,9.0,180000.0,16.012735135300492,3.912023005428146,Furnished,structured,structured,"[40, 60)",2,listing_nt_134725393
