source,listing_id,category,url,title,price_vnd,price_raw,area_m2,area_raw,bedrooms,toilets,furniture,city,district,ward,location_raw,posted_date,scraped_at
nhatot,nt_134860332,can_ho_chung_cu,https://www.nhatot.com/134860332.htm,Chính Chủ Cho Thuê Tập Thể Hàng Khoai 3 tầng 10tr,10000000,10 triệu/tháng,60.0,60.0,2.0,2.0,,Hà Nội,Hoàn Kiếm,Đồng Xuân,Phố Hàng Khoai - Phường Đồng Xuân - Quận Hoàn Kiếm,2026-09-24,2026-09-24
nhatot,nt_134845539,can_ho_chung_cu,https://www.nhatot.com/134845539.htm,CHO THUÊ CĂN HỘ PHỐ TÔNG ĐẢN- PHƯỜNG HOÀN KIẾM,22000000,22 triệu/tháng,85.0,85.0,3.0,2.0,,Hà Nội,Hoàn Kiếm,Tràng Tiền,Phố Tông Đản - Phường Tràng Tiền - Quận Hoàn Kiếm,2026-09-23,2026-09-24
nhatot,nt_134812325,can_ho_chung_cu,https://www.nhatot.com/134812325.htm,Căn hộ mini Hồng Hà- gần BV 108 5tr2- 6tr5,4800000,"4,8 triệu/tháng",25.0,25.0,1.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Chương Dương,Đường Hồng Hà - Phường Chương Dương - Quận Hoàn Kiếm,2026-09-21,2026-09-24
nhatot,nt_134761227,can_ho_chung_cu,https://www.nhatot.com/134761227.htm,"Cho thuê Căn Hộ Trần Hưng Đạo,Hoàn Kiếm,Hà Nội gần Hồ Hoàn Kiếm phố cổ",14000000,14 triệu/tháng,55.0,55.0,2.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Phố Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm,2026-09-18,2026-09-24
nhatot,nt_134742389,can_ho_chung_cu,https://www.nhatot.com/134742389.htm,"Phố Cửa Nam, 70m2 2 ngủ 2 vệ sinh giá 15tr/tháng ",15000000,15 triệu/tháng,70.0,70.0,2.0,2.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Cửa Nam,Phố Cửa Nam - Phường Cửa Nam - Quận Hoàn Kiếm,2026-09-17,2026-09-24
nhatot,nt_134673824,can_ho_chung_cu,https://www.nhatot.com/134673824.htm,Tôi là chính chủ cho thuê căn STUDIO 65 Lý Nam Đế,4500000,"4,5 triệu/tháng",21.0,21.0,1.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Cửa Đông,Phố Lý Nam Đế - Phường Cửa Đông - Quận Hoàn Kiếm,2026-09-13,2026-09-24
nhatot,nt_134634917,can_ho_chung_cu,https://www.nhatot.com/134634917.htm,CĂN HỘ NHƯ Ý - XÁCH VALI TỚI Ở,15000000,15 triệu/tháng,62.0,62.0,1.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Cửa Nam,Lý Nam đế - Phường Cửa Nam - Quận Hoàn Kiếm,2026-09-11,2026-09-24
nhatot,nt_134621311,can_ho_chung_cu,https://www.nhatot.com/134621311.htm,CHO THUÊ CĂN HỘ TẬP THỂ TẦNG 5 – MẶT PHỐ LÝ THƯỜNG KIỆT-  HOÀN KIẾM,6500000,"6,5 triệu/tháng",36.0,36.0,1.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Cửa Nam,Phố Lý Thường Kiệt - Phường Cửa Nam - Quận Hoàn Kiếm,2026-09-10,2026-09-24
nhatot,nt_134616639,can_ho_chung_cu,https://www.nhatot.com/134616639.htm,"CHO THUÊ NHÀ LÝ THƯỜNG KIỆT, HOÀN KIẾM",6500000,"6,5 triệu/tháng",35.0,35.0,1.0,1.0,,Hà Nội,Hoàn Kiếm,Hàng Bài,Phố Lý Thường Kiệt - Phường Hàng Bài - Quận Hoàn Kiếm,2026-09-10,2026-09-24
nhatot,nt_134388621,can_ho_chung_cu,https://www.nhatot.com/134388621.htm,🏡 STUDIO ĐẸP PHỐ HAI BÀ TRƯNG – FULL NỘI THẤT – MÁY GIẶT + MÁY SẤY,6000000,6 triệu/tháng,30.0,30.0,1.0,1.0,Đầy đủ,Hà Nội,Hoàn Kiếm,Cửa Nam,Ngõ 55 Hai Bà Trưng - Phường Cửa Nam - Quận Hoàn Kiếm,2026-09-09,2026-09-24
nhatot,nt_134559002,can_ho_chung_cu,https://www.nhatot.com/134559002.htm,"Cho thuê 1N1K 65m2 Hàng Bài, full đồ, thang máy, ban công, 15 tr/tháng",14000000,14 triệu/tháng,65.0,65.0,1.0,1.0,,Hà Nội,Hoàn Kiếm,Hàng Bài,Phố Hàng Bài - Phường Hàng Bài - Quận Hoàn Kiếm,2026-09-09,2026-09-24
nhatot,nt_134558660,can_ho_chung_cu,https://www.nhatot.com/134558660.htm,"Cho thuê 1N1K 55m2 Phan Huy Chú, full đồ, thang máy, giá 10 triệu",10000000,10 triệu/tháng,55.0,55.0,1.0,1.0,,Hà Nội,Hoàn Kiếm,Phan Chu Trinh,Phố Phan Huy Chú - Phường Phan Chu Trinh - Quận Hoàn Kiếm,2026-09-09,2026-09-24
